route	test_area	status	issue_severity	issue	recommendation	file_or_component_if_known
/dashboard	mission-priority	fail	high	Dashboard hero selected a completed matchup-knowledge mission instead of the strongest seeded actionable leak into Mega Greninja.	Re-rank mission candidates so the top hero prefers the strongest multi-game actionable leak over weaker recent tag patterns.	src/lib/session-coach.ts; src/components/auth/DashboardContent.tsx
/dashboard	mission-copy	fail	high	The hero showed Mission complete and Pattern confirmed while the evidence copy still said the signal needs more games.	Use one confidence source of truth so badge, progress, and evidence language cannot contradict each other.	src/lib/session-coach.ts; src/components/auth/DashboardContent.tsx
/matchups	matchup-analytics	pass	none	Matchups correctly surfaced Mega Greninja as the top actionable leak at 19 percent over 26 games.	Keep this page as the reference implementation for actionable matchup coaching.	src/app/matchups/page.tsx
/matches/reward	reward-copy	partial	medium	Reward state is visually strong but still says the testing signal improved even when the mission is already complete and no quality signal was logged.	Use softer completion-state copy once a mission is already complete or when the log sits outside the highest-value mission path.	src/components/matches/MatchLogForm.tsx
/matches	history-performance	partial	medium	Authenticated matches page rendered nearly 1 MB of HTML with 100 matches and was the heaviest page in the audit.	Paginate or window match cards and reduce default rendered detail per row.	src/app/matches/page.tsx
/decks	deck-overview	pass	low	Deck overview loaded quickly and did not reintroduce remote Pokemon TCG enrichment.	Keep overview summaries local-only.	src/app/decks/page.tsx
/decks	deck-metric-clarity	partial	medium	Deck cards mix deck-total games with active-version read, which can be misread as one metric.	Split deck-level sample and active-version sample into explicitly labeled metrics.	src/app/decks/page.tsx
/decks/[deckId]	archetype-detection	pass	none	Rogue Box correctly showed Manual archetype plus No clear archetype detected for version-level parser output.	Keep manual deck identity primary and parser suggestion secondary.	src/app/decks/[deckId]/page.tsx
/decks/[deckId]	list-parse-safety	pass	low	Unresolved and incomplete lists rendered safely without crashing the detail page.	Add a stronger 60-card completeness warning in version create/edit if not already present.	src/app/decks/[deckId]/page.tsx; src/components/decks/DeckVersionForm.tsx
/matches/new	guided-log	partial	medium	Authenticated route and reward state rendered, but the step-by-step flow could not be fully click-tested because browser automation was unavailable.	Run a real browser pass on the guided flow with mobile and desktop viewports before inviting broader testers.	src/components/matches/MatchLogForm.tsx
/matches/[id]/edit	edit-flow	partial	medium	Edit route loaded, but the full server-action edit interaction was not browser-verified in this environment.	Run a signed-in browser edit pass on at least five matches and verify dashboard and matchup recalculation live.	src/app/matches/[matchId]/edit/page.tsx; src/app/matches/actions.ts
/dashboard	first-user-flow	partial	medium	First-user and no-data states were not exercised with a clean second account during this audit.	Run a separate clean-account pass for signup, onboarding, and empty analytics messaging.	src/app/dashboard/page.tsx; src/components/auth/DashboardContent.tsx
/mobile	responsive-qa	partial	medium	Interactive mobile viewport testing was not possible in this session.	Run a phone-sized browser pass on dashboard, decks, matches, matchups, and guided logging.	src/components/auth/DashboardContent.tsx; src/components/matches/MatchLogForm.tsx; src/app/decks/page.tsx; src/app/matches/page.tsx; src/app/matchups/page.tsx
